N,P,K,temperature,humidity,ph,rainfall,label
92.8,39.5,36.1,25.5,79.6,5.3,203.4,rice
93.5,49.4,37.2,22.9,85.7,6.2,197.9,rice
81.4,39.3,39.8,23.4,80.1,6.4,231.3,rice
89.8,59.7,46.0,20.1,81.1,6.5,240.7,rice
86.8,55.0,42.3,20.5,87.1,5.2,223.2,rice
103.7,55.1,42.0,26.1,85.3,6.0,192.6,rice
78.4,49.8,43.0,24.5,82.1,5.3,294.1,rice
117.2,57.8,44.3,22.1,83.9,6.4,208.4,rice
85.7,42.7,38.3,27.5,89.6,5.4,214.7,rice
99.2,37.2,36.9,21.2,82.4,6.3,271.3,rice
97.5,51.2,34.9,21.8,82.1,5.1,244.7,rice
84.5,53.5,36.1,22.2,87.2,6.8,221.7,rice
80.8,46.1,43.5,21.2,81.8,5.1,193.1,rice
105.2,52.8,35.5,22.7,89.8,6.2,224.9,rice
92.4,50.3,48.4,23.5,81.0,5.1,256.8,rice
120.1,58.2,40.4,25.5,85.1,6.9,200.5,rice
106.7,53.6,40.1,22.7,88.4,6.9,248.5,rice
106.0,53.0,38.7,22.7,79.5,5.8,252.7,rice
79.4,47.4,43.8,20.0,82.9,6.5,267.2,rice
93.8,54.0,32.4,19.8,83.4,5.3,257.7,rice
107.2,53.6,37.7,24.7,79.9,5.4,232.5,rice
97.1,48.0,38.1,22.7,90.9,6.3,250.6,rice
113.8,53.6,41.0,22.7,89.1,5.7,278.3,rice
107.2,51.4,44.2,22.3,87.4,6.8,267.1,rice
96.7,53.0,36.1,26.3,83.0,5.1,287.3,rice
116.8,62.6,41.6,22.7,86.3,6.5,245.9,rice
97.0,39.5,37.7,21.4,80.4,6.7,270.5,rice
116.9,58.3,38.6,24.4,90.6,5.2,236.2,rice
84.8,51.1,41.7,25.7,82.3,7.1,191.2,rice
101.0,49.9,45.0,24.0,87.2,5.5,215.6,rice
99.5,56.1,43.3,23.7,89.3,6.6,300.0,rice
93.0,59.8,40.2,22.8,88.6,6.8,294.9,rice
113.4,35.0,41.8,25.0,85.4,6.3,243.0,rice
117.2,50.9,39.4,21.7,83.0,5.1,239.7,rice
116.6,50.2,40.9,26.8,81.5,5.6,235.1,rice
94.0,50.6,36.1,20.3,83.9,7.0,199.1,rice
86.1,36.1,33.3,22.5,84.9,6.6,259.6,rice
108.7,38.5,37.4,24.0,85.3,5.2,282.5,rice
98.5,46.3,38.7,22.2,79.1,5.6,195.5,rice
109.0,53.0,40.4,23.9,82.9,5.7,241.9,rice
94.3,41.2,35.1,20.8,81.0,6.7,177.1,rice
120.7,38.6,43.5,25.4,86.2,7.1,221.7,rice
109.7,43.6,39.2,24.1,81.7,6.0,243.2,rice
84.6,35.4,43.3,25.0,86.6,5.7,202.2,rice
83.6,59.2,35.2,21.4,82.2,6.1,221.7,rice
114.6,44.6,33.6,24.4,89.0,5.9,255.4,rice
85.0,44.5,37.4,24.4,88.5,5.7,217.4,rice
115.9,46.1,35.6,22.1,87.4,6.2,222.9,rice
87.6,46.7,40.0,25.6,82.0,6.9,266.1,rice
102.0,46.0,44.5,24.4,84.5,5.2,177.6,rice
95.0,53.4,41.0,22.8,81.1,5.3,243.8,rice
94.2,47.5,45.6,20.6,89.8,5.9,270.7,rice
88.2,40.1,40.5,19.9,89.1,5.6,222.2,rice
87.7,56.2,38.8,24.3,81.5,6.4,206.8,rice
89.4,39.2,40.8,21.6,87.5,5.8,256.9,rice
114.0,32.0,47.5,25.1,83.0,6.3,222.1,rice
98.6,57.6,44.6,25.6,86.4,5.6,190.3,rice
91.1,32.2,41.6,24.3,80.6,5.4,267.7,rice
86.7,46.2,39.5,24.3,80.9,5.6,269.2,rice
95.5,51.8,37.5,20.5,79.0,5.8,277.4,rice
84.6,46.7,38.8,25.5,86.9,6.3,216.7,rice
