crop,yield_quintal_per_acre,price_per_quintal_inr,cultivation_cost_per_acre_inr,season,water_requirement_level,water_requirement_mm,description
rice,25,2300,35000,"Kharif (Monsoon)",HIGH,1200,"High water requirement staple food grain crop grown primarily in warm, humid monsoon conditions."
maize,22,2150,26000,"Kharif / Rabi",MEDIUM,600,"Versatile cereal crop requiring well-drained fertile soils and moderate rainfall."
chickpea,10,5400,18000,"Rabi (Winter)",LOW,350,"Important leguminous pulse crop adapted to cool climate and low moisture environments."
kidneybeans,9,6800,21000,"Kharif / Rabi",MEDIUM,500,"Protein-rich pulse preferring temperate climate and medium soil nitrogen."
pigeonpeas,8,7000,20000,"Kharif",LOW,450,"Deep-rooted drought tolerant legume excellent for soil fertility restoration."
mothbeans,6,6200,14000,"Kharif",LOW,300,"Highly drought-resistant legume thriving in arid and semi-arid conditions."
mungbean,7,7700,16000,"Kharif / Summer",LOW,350,"Short duration pulse crop with low water requirement and high market value."
blackgram,7,7400,17000,"Kharif / Rabi",LOW,400,"Nutritious pulse crop ideal for warm weather and medium rainfall zones."
lentil,8,6100,16500,"Rabi",LOW,350,"Cool-season pulse requiring well-drained loamy soil with low water needs."
pomegranate,45,6500,85000,"Annual / Perennial",MEDIUM,650,"High-value commercial fruit crop flourishing in dry climate with controlled irrigation."
banana,180,1800,95000,"Perennial",HIGH,1800,"Tropical fruit requiring abundant water, rich nutrients, and warm temperatures."
mango,50,4200,55000,"Perennial",MEDIUM,800,"King of fruits requiring deep, well-drained soil and distinct dry spell before flowering."
grapes,70,5200,110000,"Perennial",MEDIUM,700,"High-return horticultural crop requiring dry warm summers and mild winters."
watermelon,120,1200,40000,"Summer",MEDIUM,500,"Fast-growing warm season melon requiring sandy loam soil and sunny weather."
muskmelon,90,1600,38000,"Summer",MEDIUM,450,"Sweet melon crop preferring warm dry climate and well-aerated sandy soil."
apple,60,7500,90000,"Perennial (Hilly)",MEDIUM,900,"Temperate climate fruit requiring cool temperatures and well-distributed rainfall."
orange,55,3800,60000,"Perennial",MEDIUM,850,"Citrus fruit flourishing in subtropical climate with moderate humidity."
papaya,140,1500,50000,"Perennial",HIGH,1400,"Fast yielding tropical fruit crop sensitive to frost and waterlogging."
coconut,40,3500,42000,"Perennial (Coastal)",HIGH,1500,"Coastal plantation crop requiring high humidity, warm temperature and ample rain."
cotton,12,6600,32000,"Kharif",MEDIUM,700,"Major cash fibre crop thriving in warm climates with black cotton or loamy soil."
jute,14,5100,28000,"Kharif",HIGH,1300,"Golden fibre crop requiring high heat, high humidity, and heavy rainfall."
coffee,6,22000,65000,"Perennial (Hills)",HIGH,1600,"Premium hill shade crop needing humid climate, rich organic soil and abundant rain."
